,wins,prob
Alcaraz C.,514,0.0514
Sinner J.,497,0.0497
Djokovic N.,414,0.0414
Medjedovic H.,337,0.0337
Fritz T.,304,0.0304
Monfils G.,244,0.0244
Tsitsipas S.,238,0.0238
Paul T.,219,0.0219
Tien L.,217,0.0217
Medvedev D.,208,0.0208
Shapovalov D.,200,0.02
Majchrzak K.,185,0.0185
Shelton B.,184,0.0184
Zverev A.,145,0.0145
Cilic M.,145,0.0145
Hurkacz H.,141,0.0141
Dimitrov G.,139,0.0139
Lehecka J.,138,0.0138
Auger-Aliassime F.,136,0.0136
Korda S.,129,0.0129
Kecmanovic M.,125,0.0125
Yibing W.,118,0.0118
Damm M.,112,0.0112
Michelsen A.,110,0.011
Giron M.,107,0.0107
Khachanov K.,107,0.0107
Rinderknech A.,105,0.0105
Musetti L.,105,0.0105
Agut R.,104,0.0104
Rublev A.,103,0.0103
Jodar R.,101,0.0101
Minaur A.,101,0.0101
Humbert U.,100,0.01
Bergs Z.,98,0.0098
Moutet C.,97,0.0097
Opelka R.,96,0.0096
Perricard G.,94,0.0094
Mensik J.,89,0.0089
Fokina A.,86,0.0086
Tiafoe F.,84,0.0084
Zandschulp B.,84,0.0084
Norrie C.,83,0.0083
Faria J.,83,0.0083
Bonzi B.,83,0.0083
Fucsovics M.,82,0.0082
Nakashima B.,78,0.0078
Cerundolo J.,78,0.0078
Cerundolo F.,77,0.0077
Struff J.,74,0.0074
Popyrin A.,74,0.0074
Brooksby J.,74,0.0074
Sonego L.,71,0.0071
Draxl L.,71,0.0071
Misolic F.,70,0.007
Djere L.,69,0.0069
Arnaldi M.,68,0.0068
Fery A.,67,0.0067
Ruud C.,66,0.0066
Kubler J.,64,0.0064
Jong J.,64,0.0064
Kjaer N.,62,0.0062
Machac T.,62,0.0062
Busta P.,62,0.0062
Munar J.,61,0.0061
Hanfmann Y.,60,0.006
Basavareddy N.,60,0.006
Marozsan F.,60,0.006
Diallo G.,59,0.0059
Tirante T.,56,0.0056
Gea A.,54,0.0054
Thompson J.,49,0.0049
Carabelli C.,49,0.0049
Vacherot V.,49,0.0049
Dzumhur D.,48,0.0048
Muller A.,48,0.0048
Bu Y.,47,0.0047
Duckworth J.,46,0.0046
Zheng M.,44,0.0044
Borges N.,42,0.0042
Atmane T.,40,0.004
Griekspoor T.,40,0.004
Mannarino A.,40,0.004
Nardi L.,36,0.0036
Baez S.,34,0.0034
Tabilo A.,32,0.0032
Shang J.,31,0.0031
Gaston H.,29,0.0029
Shevchenko A.,28,0.0028
Kypson P.,28,0.0028
Halys Q.,27,0.0027
Etcheverry T.,26,0.0026
Nava E.,24,0.0024
Fonseca J.,23,0.0023
Garin C.,21,0.0021
Spizzirri E.,20,0.002
Hijikata R.,19,0.0019
Cobolli F.,16,0.0016
Jacquet K.,15,0.0015
Wawrinka S.,15,0.0015
Walton A.,14,0.0014
Quinn E.,14,0.0014
Comesana F.,13,0.0013
Bellucci M.,13,0.0013
Bublik A.,13,0.0013
Kopriva V.,10,0.001
Ymer E.,9,0.0009
Sakamoto R.,9,0.0009
O'Connell C.,9,0.0009
Vukic A.,8,0.0008
Collignon R.,8,0.0008
Darderi L.,7,0.0007
Blockx A.,7,0.0007
Royer V.,6,0.0006
Taberner C.,6,0.0006
McDonald M.,6,0.0006
Svrcina D.,6,0.0006
Kovacevic A.,6,0.0006
Sweeny D.,5,0.0005
Prizmic D.,4,0.0004
Altmaier D.,4,0.0004
Svajda Z.,2,0.0002
Martinez P.,2,0.0002
Maestrelli F.,1,0.0001
